cottage, ‘kɔtidʒ, n.村舍，小屋
cotton, ‘kɔtn, n.棉；棉线；棉布
cough, kɔf, vi.咳，咳嗽n.咳嗽
could, kud, kəd, aux.v.(can 的过去式)
council, ‘kaunsil, n.理事会，委员会
count, kaunt, vt.计算vi.数，计数
counter, ‘kauntə, n.柜台；计数器
country, ‘kΛntri, n.国家，国土；农村
countryside, ‘kΛntrisaid, n.乡下，农村
county, ‘kaunti, n.英国的郡，美国的县
couple, ‘kΛpl, n.夫妇；(一)对；几个
courage, ‘kΛridʒ, n.勇气，胆量，胆识
course, kɔ:s, n.课程；过程；一道菜
court, kɔ:t, n.法院，法庭；庭院
cousin, ‘kΛzn, n.堂(或表)兄弟(姐妹)
cover, ‘kΛvə, vt.盖，包括n.盖子
 
cow, kau, n.母牛，奶牛；母兽
crack, kræk, n.裂缝，裂纹vi.爆裂
craft, kra:ft, n.工艺；手艺，行业
crane, krein, n.起重机，摄影升降机
crash, kræʃ, vi.碰撞，坠落n.碰撞
crawl, krɔ:l, vi.爬，爬行
crazy, ‘kreizi, a.疯狂的，荒唐的
cream, kri:m, n.奶油，乳脂；奶油色
create, kri(:)’eit, vt.创造；引起，产生
creative, kri(:)’eitiv, a.创造性的，创作的
creature, ‘kri:tʃə, n.生物，动物，家畜
credit, ‘kredit, n.信用贷款；信用
creep, kri:p, vi.爬行；缓慢地行进
crew, kru:, n.全体船员
crime, kraim, n.罪，罪行；犯罪
criminal, ‘kriminl, n.犯人，罪犯，刑事犯
crisis, ‘kraisis, n.危机；存亡之际
critic, ‘kritik, n.批评家，爱挑剔的人
critical, ‘kritikəl, a.决定性的；批评的
criticism, ‘kritisizəm, n.批评；批判；评论
criticize, ‘kritisaiz, vt.批评；评论；非难
crop, krɔp, n.农作物，庄稼；一熟
cross, krɔs, vt.穿过；使交叉
crowd, kraud, n.群；大众；一伙人
crown, kraun, n.王冠，冕；花冠
crude, kru:d, a.简陋的；天然的
cruel, ‘kruəl, a.残忍的，残酷的
crush, krΛʃ, vt.压碎，碾碎；镇压
crust, krΛst, n.面包皮；硬外皮
cry, krai, vi.哭，哭泣；叫喊
 
crystal, ‘kristl, n.水晶，结晶体；晶粒
cube, kju:b, n.立方形；立方
cubic, ‘kju:bik, a.立方形的；立方的
cultivate, ‘kΛltiveit, vt.耕；种植；培养
culture, ‘kΛltʃə, n.文化，文明；教养
cup, kΛp, n.杯子；(一)杯；奖杯
cupboard, ‘kΛbəd, n.碗柜，碗碟橱；食橱
cure, kjuə, vt.医治；消除n.治愈
curiosity, kjuəri’ositi, n.好奇，好奇心；珍品
curious, ‘kjuəriəs, a.好奇的；稀奇古怪的
current, ‘kΛrənt, a.当前的；通用的
curse, kə:s, n.诅咒，咒骂；天谴
curtain, ‘kə:tn, n.帘，窗帘；幕(布)
curve, kə:v, n.曲线；弯vt.弄弯
cushion, ‘kuʃən, n.垫子，坐垫，靠垫
custom, ‘kΛstəm, n.习惯，风俗；海关
customer, ‘kΛstəmə, n.顾客，主顾
cut, kΛt, vt.切，割，剪；减少
cycle, ‘saikl, n 自行车，循环
